"parameter","Penh"
"unit",NA
NA,NA
NA,NA
"a1 baseline",NA
NA,0.47
NA,0.41
NA,0.42
NA,0.34
NA,0.4
NA,0.49
NA,0.28
NA,0.41
NA,0.34
NA,0.47
NA,0.38
NA,0.35
NA,0.39
NA,0.3
NA,0.48
NA,0.32
NA,0.39
NA,0.2
NA,0.31
NA,0.34
NA,0.49
NA,0.39
NA,0.18
NA,0.32
NA,0.44
NA,0.45
"a1 baseline",NA
NA,NA
NA,0.33
NA,0.44
NA,NA
"a2 baseline",NA
NA,0.46
NA,0.45
NA,0.49
NA,0.45
NA,0.48
NA,0.36
NA,0.38
NA,0.34
NA,0.46
NA,0.47
NA,0.34
NA,0.42
NA,0.29
NA,0.38
NA,0.37
NA,0.36
NA,0.47
NA,0.39
NA,0.3
NA,0.35
NA,0.46
NA,0.31
NA,0.38
NA,0.31
NA,0.39
NA,0.38
NA,0.28
NA,0.37
"a2 baseline",NA
NA,NA
NA,0.42
NA,NA
"a3 baseline",NA
NA,0.48
NA,0.53
NA,0.72
NA,0.42
NA,0.5
NA,0.46
NA,0.59
NA,0.45
NA,0.42
NA,0.4
NA,0.54
NA,0.36
NA,0.45
NA,0.58
NA,0.45
NA,0.45
NA,0.41
NA,0.31
NA,0.46
NA,0.35
NA,0.37
NA,0.36
NA,0.58
NA,0.42
NA,0.35
"a3 baseline",NA
NA,NA
NA,0.47
NA,NA
"a4 baseline",NA
NA,0.47
NA,0.5
NA,0.55
NA,0.41
NA,0.4
NA,0.24
NA,0.4
NA,0.46
NA,0.38
NA,0.39
NA,0.44
NA,0.41
NA,0.43
NA,0.53
NA,0.59
NA,0.42
NA,0.48
NA,0.39
NA,0.58
NA,0.44
NA,0.47
NA,0.36
NA,0.49
NA,0.48
NA,0.43
NA,0.42
"a4 baseline",NA
NA,NA
NA,1.03
NA,0
NA,0
NA,0
NA,NA
"d1 baseline",NA
NA,0.49
NA,0.66
NA,0.46
NA,0.45
NA,0.53
NA,0.53
NA,0.39
NA,0.48
NA,0.41
NA,0.34
