en,cn
English,中文
Dataset of pediatric respiratory disease,儿童呼吸疾病数据集
Expression data of selected gene,基因表达数据
Show Data,展示数据
Analyze Data,分析数据
Support Vector Machines,支持向量机
group: control vs case,对照与实验组
var column,var 列
group or var,比较列选择
age and genes,基因、年龄
basic,基础
title,标题
axis.title,轴标题
axis.text,轴文本
axis.ticks,轴刻度
legend.title,图例标题
legend.text,图例文本
download table,下载表格
download plot,下载图形
plot.weight,下载图宽
plot.high,下载图高
plot.dpi,图分辨率
data.train size (70%),训练集(70%)
set.seed,随机种子
cost min,cost 最小值
cost max,cost 最大值
cost interval,cost 间隔
gamma min,gamma 最小值
gamma max,gamma 最大值
gamma interval,gamma 间隔
